ts,date,dateDay,dateMonth,dateYear,dateHour,dateMinute,dateSeconds,open,close,high,low,volume
1577836800,2020-01-01 05:30:00,1,1,2020,5,30,0,0.19285,0.19305,0.19526,0.19219,29773022.6
1577923200,2020-01-02 05:30:00,2,1,2020,5,30,0,0.19304,0.1875,0.19304,0.18508,47912105.6
1578009600,2020-01-03 05:30:00,3,1,2020,5,30,0,0.1875,0.19338,0.19395,0.1845,70390779.3
1578096000,2020-01-04 05:30:00,4,1,2020,5,30,0,0.19331,0.19305,0.19363,0.19119,34239655.4
1578182400,2020-01-05 05:30:00,5,1,2020,5,30,0,0.19305,0.19453,0.19722,0.19288,54356477.7
1578268800,2020-01-06 05:30:00,6,1,2020,5,30,0,0.19453,0.2231,0.22396,0.19421,234157239.2
1578355200,2020-01-07 05:30:00,7,1,2020,5,30,0,0.2231,0.21335,0.2255,0.20702,206449580.6
1578441600,2020-01-08 05:30:00,8,1,2020,5,30,0,0.21334,0.2075,0.21836,0.20311,148861801.3
1578528000,2020-01-09 05:30:00,9,1,2020,5,30,0,0.2075,0.20373,0.20877,0.20126,75492140.5
1578614400,2020-01-10 05:30:00,10,1,2020,5,30,0,0.20375,0.21284,0.21318,0.20023,145223181.5
1578700800,2020-01-11 05:30:00,11,1,2020,5,30,0,0.21277,0.21121,0.21994,0.20852,119237732.2
1578787200,2020-01-12 05:30:00,12,1,2020,5,30,0,0.21121,0.21539,0.21713,0.20941,70711714.4
1578873600,2020-01-13 05:30:00,13,1,2020,5,30,0,0.21536,0.21134,0.2156,0.2096,50959156.8
1578960000,2020-01-14 05:30:00,14,1,2020,5,30,0,0.21134,0.23464,0.24526,0.21134,301142541.5
1579046400,2020-01-15 05:30:00,15,1,2020,5,30,0,0.23455,0.23367,0.24356,0.2263,237606461.8
1579132800,2020-01-16 05:30:00,16,1,2020,5,30,0,0.23367,0.229,0.23501,0.2223,140095581.9
1579219200,2020-01-17 05:30:00,17,1,2020,5,30,0,0.22899,0.23921,0.24453,0.22659,214368960.7
1579305600,2020-01-18 05:30:00,18,1,2020,5,30,0,0.23922,0.24357,0.25456,0.23183,206939203.8
1579392000,2020-01-19 05:30:00,19,1,2020,5,30,0,0.24357,0.23558,0.25175,0.227,180887717.9
1579478400,2020-01-20 05:30:00,20,1,2020,5,30,0,0.23554,0.23314,0.23672,0.22415,115112776.4
1579564800,2020-01-21 05:30:00,21,1,2020,5,30,0,0.23314,0.23726,0.242,0.23,111913129.9
1579651200,2020-01-22 05:30:00,22,1,2020,5,30,0,0.23738,0.23733,0.23996,0.23213,84725853.4
